FUEL_BASED_GEN_TPS_1,FUEL_BASED_GEN_TPS_2,DispatchGenRenewableMW
Oahu_Airport_DSG,2508081812,0.0
Oahu_Airport_DSG,2508081814,0.0
Oahu_Airport_DSG,2508081816,0.0
Oahu_Airport_DSG,2508081818,8.0
Oahu_Airport_DSG,2508081820,0.0
Oahu_Airport_DSG,2508081822,0.0
Oahu_Airport_DSG,2508091000,0.0
Oahu_Airport_DSG,2508091002,0.0
Oahu_Airport_DSG,2508091004,0.0
Oahu_Airport_DSG,2508091006,8.0
Oahu_Airport_DSG,2508091008,0.0
Oahu_Airport_DSG,2508091010,0.0
Oahu_Airport_DSG,2508091012,0.0
Oahu_Airport_DSG,2508091014,0.0
Oahu_Airport_DSG,2508091016,0.0
Oahu_Airport_DSG,2508091018,8.0
Oahu_Airport_DSG,2508091020,0.0
Oahu_Airport_DSG,2508091022,0.0
Oahu_Airport_DSG,2508112200,0.0
Oahu_Airport_DSG,2508112202,0.0
Oahu_Airport_DSG,2508112204,0.0
Oahu_Airport_DSG,2508112206,0.0
Oahu_Airport_DSG,2508112208,0.0
Oahu_Airport_DSG,2508112210,0.0
Oahu_Airport_DSG,2508112212,0.0
Oahu_Airport_DSG,2508112214,0.0
Oahu_Airport_DSG,2508112216,0.0
Oahu_Airport_DSG,2508112218,0.0
Oahu_Airport_DSG,2508112220,0.0
Oahu_Airport_DSG,2508112222,0.0
Oahu_Airport_DSG,3007011200,0.0
Oahu_Airport_DSG,3007011202,0.0
Oahu_Airport_DSG,3007011204,0.0
Oahu_Airport_DSG,3007011206,0.0
Oahu_Airport_DSG,3007011208,0.0
Oahu_Airport_DSG,3007011210,0.0
Oahu_Airport_DSG,3007011212,0.0
Oahu_Airport_DSG,3007011214,0.0
Oahu_Airport_DSG,3007011216,0.0
Oahu_Airport_DSG,3007011218,0.0
Oahu_Airport_DSG,3007011220,0.0
Oahu_Airport_DSG,3007011222,0.0
Oahu_Airport_DSG,3007011900,0.0
Oahu_Airport_DSG,3007011902,0.0
Oahu_Airport_DSG,3007011904,0.0
Oahu_Airport_DSG,3007011906,0.0
Oahu_Airport_DSG,3007011908,0.0
Oahu_Airport_DSG,3007011910,0.0
Oahu_Airport_DSG,3007011912,0.0
Oahu_Airport_DSG,3007011914,0.0
Oahu_Airport_DSG,3007011916,0.0
Oahu_Airport_DSG,3007011918,0.0
Oahu_Airport_DSG,3007011920,0.0
Oahu_Airport_DSG,3007011922,0.0
Oahu_Airport_DSG,3007021200,0.0
Oahu_Airport_DSG,3007021202,0.0
Oahu_Airport_DSG,3007021204,0.0
Oahu_Airport_DSG,3007021206,0.0
Oahu_Airport_DSG,3007021208,0.0
Oahu_Airport_DSG,3007021210,0.0
Oahu_Airport_DSG,3007021212,0.0
Oahu_Airport_DSG,3007021214,0.0
Oahu_Airport_DSG,3007021216,0.0
